type,name,latitude,longitude,color,url
Shore Protection Approaches,Site 1,42.558137,-73.754271,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Shore Protection Approaches,Site 2,42.545112,-73.756588,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Shore Protection Approaches,Site 3,42.543468,-73.756974,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Shore Protection Approaches,Site 4,42.53863,-73.755987,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Shore Protection Approaches,Site 5,41.712385,-73.944829,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Shore Protection Approaches,Site 6,41.702934,-73.946675,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Shore Protection Approaches,Site 7,41.697743,-73.945859,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Shore Protection Approaches,Site 8,41.690949,-73.939164,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Shore Protection Approaches,Site 9,41.214067,-73.949084,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Shore Protection Approaches,Site 10,41.20903,-73.943935,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Shore Protection Approaches,Site 11,41.202314,-73.933635,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Shore Protection Approaches,Site 12,41.194565,-73.927455,609128,https://cornell.app.box.com/s/f4zn3x0cttpvpmgx8eou
Ice phenology-Great Lakes,Site 1,44.16,-75.4,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 2,43.68,-73.74,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 3,42.34,-79.32,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 4,42.93,-75.86,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 5,44.84,-74.04,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 6,42.11,-79.1,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 7,44.22,-74.83,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 8,43.03,-77.57,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 9,42.51,-75.77,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 10,43.83,-73.43,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 11,41.9,-75.02,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 12,42.48,-77.56,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 13,44.29,-73.99,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 14,41.28,-73.81,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 15,41.76,-74.16,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 16,43.24,-76.14,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 17,42.69,-74.93,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 18,44.3,-73.99,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 19,44.29,-74.19,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 20,43.73,-73.81,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 21,44.43,-74.29,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 22,44.15,-75.04,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 23,44.26,-75.41,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
Ice phenology-Great Lakes,Site 24,44.74,-74.29,00529d,http://www.sefs.washington.edu/classes.esc.401/LakeIcePhenology07.pdf
